Scope 1,,,,
,,,,
Mobile Combustion,,,,
Fuel,Emission Factor,Unit,Activity Unit,Source
,0.44866,kg CO₂e/mile,mile ,UK Gov GHG Conversion Factors 2025
Van Class III (1.74-3.5  tonnes) petrol,0.33845,kg CO₂e/km,km,UK Gov GHG Conversion Factors 2025
,0.54468,kg CO₂e/mile,mile ,UK Gov GHG Conversion Factors 2025
Van Class III (1.74-3.5  tonnes) BEV,0.000000,kg CO₂e/km,km,UK Gov GHG Conversion Factors 2025
,0.000000,kg CO₂e/mile,mile ,UK Gov GHG Conversion Factors 2025
Van -  Average (up to 3.5 tonnes) diesel,0.25561,kg CO₂e/km,km,UK Gov GHG Conversion Factors 2025
,0.41138,kg CO₂e/mile,mile ,UK Gov GHG Conversion Factors 2025
Van -  Average (up to 3.5 tonnes) petrol,0.21335,kg CO₂e/km,km,UK Gov GHG Conversion Factors 2025
,0.34336,kg CO₂e/mile,mile ,UK Gov GHG Conversion Factors 2025
Van -  Average (up to 3.5 tonnes) BEV,0.000000,kg CO₂e/km,km,UK Gov GHG Conversion Factors 2025
,0.000000,kg CO₂e/mile,mile ,UK Gov GHG Conversion Factors 2025
,,,,
HGV Rigid (>3.5 - 7.5 tonnes) - Ave laden,0.49548,kg CO₂e/km,km,UK Gov GHG Conversion Factors 2025
,0.79738,kg CO₂e/mile,mile ,UK Gov GHG Conversion Factors 2025
HGV Rigid ( 7.5-17 tonnes) - Ave laden,0.60501,kg CO₂e/km,km,UK Gov GHG Conversion Factors 2025
,0.97367,kg CO₂e/mile,mile ,UK Gov GHG Conversion Factors 2025
HGV Rigid (>17 tonnes) - Ave laden,0.99156,kg CO₂e/km,km,UK Gov GHG Conversion Factors 2025
,1.59575,kg CO₂e/mile,mile ,UK Gov GHG Conversion Factors 2025
Ave Rigid - Ave laden,0.83751,kg CO₂e/km,km,UK Gov GHG Conversion Factors 2025
,1.34783,kg CO₂e/mile,mile ,UK Gov GHG Conversion Factors 2025
HGV Articulated (>3.5 - 33t) - Ave laden,0.77250,kg CO₂e/km,km,UK Gov GHG Conversion Factors 2025
,1.24322,kg CO₂e/mile,mile ,UK Gov GHG Conversion Factors 2025
HGV Articulated (>3.5 - 33t) - Ave laden,0.91969,kg CO₂e/km,km,UK Gov GHG Conversion Factors 2025
,1.48010,kg CO₂e/mile,mile ,UK Gov GHG Conversion Factors 2025
Ave Articulated - Ave laden,0.92854,kg CO₂e/km,km,UK Gov GHG Conversion Factors 2025
,1.49432,kg CO₂e/mile,mile ,UK Gov GHG Conversion Factors 2025
Average HGV Ave laden,0.87910,kg CO₂e/km,km,UK Gov GHG Conversion Factors 2025
,1.41477,kg CO₂e/mile,mile ,UK Gov GHG Conversion Factors 2025
,,,,
HGV Refrigerated Rigid (>3.5 - 7.5 tonnes) - Ave laden,0.59005,kg CO₂e/km,km,UK Gov GHG Conversion Factors 2025
,0.94959,kg CO₂e/mile,mile ,UK Gov GHG Conversion Factors 2025
HGV Refrigerated  Rigid ( 7.5-17 tonnes) - Ave laden,0.72049,kg CO₂e/km,km,UK Gov GHG Conversion Factors 2025
,1.15952,kg CO₂e/mile,mile ,UK Gov GHG Conversion Factors 2025
HGV Refrigerated Rigid (>17 tonnes) - Ave laden,1.18083,kg CO₂e/km,km,UK Gov GHG Conversion Factors 2025
,1.90036,kg CO₂e/mile,mile ,UK Gov GHG Conversion Factors 2025
Ave Refrigerated Rigid - Ave laden,0.99739,kg CO₂e/km,km,UK Gov GHG Conversion Factors 2025
,1.60513,kg CO₂e/mile,mile ,UK Gov GHG Conversion Factors 2025
HGV Refrigerated  Articulated (>3.5 - 33t) - Ave laden,0.90759,kg CO₂e/km,km,UK Gov GHG Conversion Factors 2025
,1.46061,kg CO₂e/mile,mile ,UK Gov GHG Conversion Factors 2025
HGV Refrigerated Articulated (>3.5 - 33t) - Ave laden,1.08051,kg CO₂e/km,km,UK Gov GHG Conversion Factors 2025
,1.73890,kg CO₂e/mile,mile ,UK Gov GHG Conversion Factors 2025
Ave Refrigerated Articulated - Ave laden,1.07395,kg CO₂e/km,km,UK Gov GHG Conversion Factors 2025
,1.72834,kg CO₂e/mile,mile ,UK Gov GHG Conversion Factors 2025
Average Refrigerated HGV Ave laden,1.04323,kg CO₂e/km,km,UK Gov GHG Conversion Factors 2025
,1.67891,kg CO₂e/mile,mile ,UK Gov GHG Conversion Factors 2025
,,,,
Stationary Combustion,,,,
Fuel,Emission Factor,Unit,Activity Unit,Source
Fuel Oil (Ireland),2.67,kg CO₂e/litre,Litre,SEAI Emission Factors
Natural Gas (Ireland),2.02,kg CO₂e/m3,m3,SEAI Emission Factors
Coal (Ireland),2.63,kg CO₂e/kg,kg,SEAI Emission Factors
Sod Peat (Ireland),1.36,kg CO₂e/kg,kg,SEAI Emission Factors
Bituminouis coal,2.634,kg CO₂e/kg,kg,SEAI Emission Factors
Anthracite,2.737,kg CO₂e/kg,kg,SEAI Emission Factors
Lignite (Ireland),0.741,kg CO₂e/kg,kg,SEAI Emission Factors
Milled peat (Ireland),1.363,kg CO₂e/kg,kg,SEAI Emission Factors
Peat briquettes (Ireland),1.834,kg CO₂e/kg,kg,SEAI Emission Factors
,,,,
Butane,3033.38067,kg CO₂e/tonne,tonne,UK Gov GHG Conversion Factors 2025
Butane,1.74533,kg CO₂e/litre,litre,UK Gov GHG Conversion Factors 2025
Butane,0.24107,kg CO₂e/kWh (gross CV),kWh (gross CV),UK Gov GHG Conversion Factors 2025
Butane,0.22241,kg CO₂e/kWh (net CV),kWh (net CV),UK Gov GHG Conversion Factors 2025
CNG,2575.46441,kg CO₂e/tonne,tonne,UK Gov GHG Conversion Factors 2025
,0.45070,kg CO₂e/litre,litre,UK Gov GHG Conversion Factors 2025
,0.20270,kg CO₂e/kWh (gross CV),kWh (gross CV),UK Gov GHG Conversion Factors 2025
,0.18296,kg CO₂e/kWh (net CV),kWh (net CV),UK Gov GHG Conversion Factors 2025
LNG,2603.30441,kg CO₂e/tonne,tonne,UK Gov GHG Conversion Factors 2025
,1.17797,kg CO₂e/litre,litre,UK Gov GHG Conversion Factors 2025
,0.20489,kg CO₂e/kWh (gross CV),kWh (gross CV),UK Gov GHG Conversion Factors 2025
,0.18494,kg CO₂e/kWh (net CV),kWh (net CV),UK Gov GHG Conversion Factors 2025
LPG,2939.36095,kg CO₂e/tonne,tonne,UK Gov GHG Conversion Factors 2025
